iter	Passed	Remaining
1424	3036	3313
1425	3038	3311
1426	3040	3309
1427	3042	3306
1428	3045	3305
1429	3047	3302
1430	3049	3300
1431	3051	3298
1432	3053	3296
1433	3055	3294
1434	3057	3292
1435	3059	3289
1436	3061	3287
1437	3063	3285
1438	3065	3282
1439	3067	3280
1440	3069	3278
1441	3071	3276
1442	3073	3274
1443	3075	3271
1444	3078	3270
1445	3080	3267
1446	3082	3265
1447	3084	3263
1448	3086	3261
1449	3088	3259
1450	3090	3256
1451	3092	3254
1452	3094	3252
1453	3097	3250
1454	3098	3247
1455	3100	3245
1456	3103	3243
1457	3105	3241
1458	3107	3239
1459	3109	3237
1460	3111	3235
1461	3113	3233
1462	3115	3230
1463	3117	3228
1464	3120	3226
1465	3122	3224
1466	3124	3222
1467	3126	3220
1468	3128	3218
1469	3130	3215
1470	3132	3213
1471	3135	3211
1472	3137	3210
1473	3140	3208
1474	3142	3206
1475	3144	3204
1476	3146	3201
1477	3148	3199
1478	3150	3197
1479	3153	3196
1480	3155	3193
1481	3158	3192
1482	3160	3190
1483	3163	3188
1484	3165	3186
1485	3167	3184
1486	3170	3182
1487	3172	3180
1488	3174	3179
1489	3177	3177
1490	3180	3175
1491	3182	3173
1492	3184	3171
1493	3196	3179
1494	3199	3177
1495	3201	3175
1496	3203	3173
1497	3206	3171
1498	3208	3170
1499	3211	3168
1500	3213	3166
1501	3215	3164
1502	3217	3161
1503	3219	3159
1504	3221	3157
1505	3223	3154
1506	3225	3152
1507	3227	3150
1508	3229	3147
1509	3231	3145
1510	3233	3143
1511	3235	3141
1512	3237	3139
1513	3239	3137
1514	3242	3135
1515	3244	3133
1516	3246	3130
1517	3248	3128
1518	3250	3126
1519	3252	3124
1520	3254	3122
1521	3256	3119
1522	3258	3117
1523	3260	3115
1524	3263	3113
1525	3265	3111
1526	3267	3109
1527	3269	3107
1528	3271	3105
1529	3274	3102
1530	3276	3100
1531	3278	3098
1532	3280	3096
1533	3282	3094
1534	3284	3091
1535	3286	3089
1536	3289	3087
1537	3291	3085
1538	3293	3083
1539	3295	3081
1540	3298	3079
1541	3300	3077
1542	3302	3075
1543	3304	3073
1544	3307	3071
1545	3309	3069
1546	3311	3067
1547	3313	3064
1548	3315	3062
1549	3317	3060
1550	3319	3058
1551	3321	3056
1552	3324	3054
1553	3326	3052
1554	3328	3050
1555	3331	3048
1556	3333	3046
1557	3335	3044
1558	3337	3042
1559	3340	3040
1560	3342	3038
1561	3345	3036
1562	3347	3034
1563	3349	3032
1564	3351	3030
1565	3353	3028
1566	3355	3026
1567	3357	3023
1568	3359	3021
1569	3361	3019
1570	3364	3017
1571	3366	3015
1572	3368	3013
1573	3371	3011
1574	3373	3009
1575	3375	3007
1576	3377	3004
1577	3379	3002
1578	3381	3000
1579	3383	2998
1580	3385	2996
1581	3388	2994
1582	3390	2992
1583	3392	2990
1584	3395	2988
1585	3397	2985
1586	3399	2983
1587	3401	2981
1588	3403	2979
1589	3406	2977
1590	3408	2975
1591	3410	2973
1592	3412	2971
1593	3414	2968
1594	3416	2966
1595	3418	2964
1596	3421	2962
1597	3423	2960
1598	3425	2958
1599	3427	2956
1600	3429	2954
1601	3431	2952
1602	3434	2949
1603	3435	2947
1604	3438	2945
1605	3440	2943
1606	3442	2941
1607	3444	2939
1608	3447	2937
1609	3449	2935
1610	3451	2933
1611	3453	2931
1612	3456	2929
1613	3458	2926
1614	3460	2924
1615	3462	2922
1616	3465	2920
1617	3467	2918
1618	3469	2916
1619	3471	2914
1620	3473	2912
1621	3475	2910
1622	3478	2908
1623	3480	2906
1624	3482	2903
1625	3484	2901
1626	3486	2899
1627	3488	2897
1628	3490	2895
1629	3493	2893
1630	3495	2890
1631	3497	2888
1632	3498	2886
1633	3500	2883
1634	3503	2881
1635	3505	2879
1636	3507	2877
1637	3510	2875
1638	3512	2873
1639	3514	2871
1640	3516	2869
1641	3518	2867
1642	3520	2865
1643	3523	2863
1644	3525	2861
1645	3527	2858
1646	3529	2856
1647	3531	2854
1648	3533	2852
1649	3536	2850
1650	3538	2848
1651	3540	2846
1652	3542	2844
1653	3545	2842
1654	3547	2839
1655	3549	2837
1656	3551	2835
1657	3554	2833
1658	3556	2831
1659	3558	2829
1660	3561	2827
1661	3563	2825
1662	3565	2823
1663	3567	2821
1664	3569	2819
1665	3571	2816
1666	3573	2814
1667	3575	2812
1668	3577	2810
1669	3580	2808
1670	3582	2806
1671	3584	2804
1672	3587	2802
1673	3589	2800
1674	3591	2798
1675	3594	2796
1676	3596	2794
1677	3598	2792
1678	3601	2790
1679	3603	2788
1680	3605	2786
1681	3607	2783
1682	3609	2781
1683	3611	2779
1684	3613	2777
1685	3616	2775
1686	3618	2773
1687	3620	2771
1688	3622	2769
1689	3625	2767
1690	3627	2764
1691	3629	2762
1692	3631	2760
1693	3633	2758
1694	3635	2756
1695	3638	2754
1696	3640	2752
1697	3642	2750
1698	3644	2748
1699	3647	2746
1700	3649	2743
1701	3651	2741
1702	3654	2740
1703	3656	2737
1704	3658	2735
1705	3660	2733
1706	3662	2731
1707	3664	2729
1708	3666	2726
1709	3668	2724
